Model,MAE down,RMSE down,R2 up,Spearman up
Count,0.4689499368904571,0.6882545481586771,0.0,0.0
LLM profiler (DeepSeek),0.4761472434119197,0.6743179554780521,0.0400883376821786,0.2347035128471803
Linear,0.3704815743449534,0.5488381745943977,0.3640976316846132,0.4735750425332587
Tree,0.3251138958514231,0.4872064343180383,0.498896022002195,0.5476258470418084
