config_hash,n_nodes,wireless_index,wireless_seed,quantized_objective,continuous_objective_of_quantized_strategy,k_offload,delta_q,delta_v_gb,states_created,states_pruned,pruning_rate,peak_live_states,peak_python_memory_mb,runtime_seconds,claim
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,0,21460729,70.3425946748666,70.32592416101392,9,0.1,0.1,6057,3452,0.56991910186561,50,0.0276908874511718,0.2388668339699506,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,50,0,21660729,115.22472950084595,115.17349255649854,14,0.1,0.1,45091,26978,0.5983012131023929,97,0.0423583984375,1.253542041988112,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,80,0,21960729,186.34025656269608,186.26174221179,16,0.1,0.1,194778,102672,0.527123186396821,272,0.1078433990478515,4.977286708075553,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,100,0,22160729,228.03243520077223,227.933320563541,16,0.1,0.1,322956,176034,0.5450711552038049,467,0.165170669555664,9.411824250011705,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,150,0,22660729,356.48805047179076,356.372739303973,18,0.1,0.1,844441,567146,0.6716230026727741,894,0.4182586669921875,24.765641166944988,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,200,0,23160729,489.38669867986664,489.2649371367641,21,0.1,0.1,1991352,1487424,0.7469417762404638,1675,0.8091259002685547,63.036309791961685,quantized_global_optimum_not_continuous_global_optimum
