memory_mode,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,quantized_oracle_gap_percent_n,quantized_oracle_gap_percent_mean,quantized_oracle_gap_percent_std,quantized_oracle_gap_percent_ci95_low,quantized_oracle_gap_percent_ci95_high,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,workload_utilization_n,workload_utilization_mean,workload_utilization_std,workload_utilization_ci95_low,workload_utilization_ci95_high,memory_utilization_n,memory_utilization_mean,memory_utilization_std,memory_utilization_ci95_low,memory_utilization_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high,barrier_penalty_n,barrier_penalty_mean,barrier_penalty_std,barrier_penalty_ci95_low,barrier_penalty_ci95_high,rejections_workload_n,rejections_workload_mean,rejections_workload_std,rejections_workload_ci95_low,rejections_workload_ci95_high,rejections_memory_n,rejections_memory_mean,rejections_memory_std,rejections_memory_ci95_low,rejections_memory_ci95_high,rejections_cost_n,rejections_cost_mean,rejections_cost_std,rejections_cost_ci95_low,rejections_cost_ci95_high
hard,50,1250,251.13540487326182,15.266270423295945,250.28828066430535,251.9825290822183,1250,0.6510707115733458,0.8231632197679147,0.6053934458068585,0.6967479773398332,1250,0.105448,0.038703975172523615,0.10330031929984271,0.10759568070015729,1250,0.3085333583321696,0.1509241171929891,0.30015859030798564,0.31690812635635357,1250,0.7434280666666666,0.290971049337203,0.7272821048066647,0.7595740285266686,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,49.9912,45.110103743261135,47.48804370249718,52.49435629750282,1250,39.464,43.109844246259456,37.07183795303263,41.85616204696737
none,50,1250,247.564805342736,13.616921006447122,246.8092034100985,248.32040727537353,0,,,,,1250,0.13476000000000002,0.03714358783011564,0.1326989050772757,0.13682109492272435,1250,0.3783558216562064,0.11935350875931657,0.3717329043430408,0.384978738969372,1250,1.1571027999999999,0.7670005212765748,1.1145419981905336,1.1996636018094662,1250,0.0,0.0,0.0,0.0,1250,0.504,0.5001841134201028,0.4762448207934916,0.5317551792065084,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,86.524,3.7143587830115643,86.31789050772757,86.73010949227243
soft,50,1250,250.9165209891606,14.783176391902174,250.09620363203166,251.73683834628955,0,,,,,1250,0.08932000000000001,0.037357918722447835,0.08724701187202073,0.09139298812797929,1250,0.26772931046272996,0.15070249783929332,0.2593668400799793,0.27609178084548064,1250,0.6031169333333333,0.20523522740288988,0.5917284458479833,0.6145054208186832,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,0.76029935065733,0.609712638649485,0.7264664417420957,0.7941322595725643,1250,0.0,0.0,0.0,0.0,1250,0.0,0.0,0.0,0.0,1250,91.068,3.7357918722447834,90.86070118720207,91.27529881279793
