factor,value,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,mean_end_to_end_delay_seconds_n,mean_end_to_end_delay_seconds_mean,mean_end_to_end_delay_seconds_std,mean_end_to_end_delay_seconds_ci95_low,mean_end_to_end_delay_seconds_ci95_high,jain_service_quality_n,jain_service_quality_mean,jain_service_quality_std,jain_service_quality_ci95_low,jain_service_quality_ci95_high
bandwidth_mhz,10.0,50,50,251.68557590663843,14.404139631596278,247.59196471721734,255.77918709605953,50,0.11,0.01989769753883446,0.10434513692785813,0.11565486307214187,50,44.84537473725515,5.909985850743899,43.16577534244948,46.52497413206082,50,0.8263055247375494,0.023987416188834133,0.8194883764852153,0.8331226729898834
bandwidth_mhz,20.0,50,50,246.52507268866214,13.213356263750423,242.76987838795947,250.2802669893648,50,0.14600000000000002,0.019059520091609047,0.14058334432270705,0.15141665567729298,50,43.604948428811255,5.4665779883358585,42.05136415420403,45.15853270341848,50,0.8315178546713505,0.022675116819580718,0.8250736577732274,0.8379620515694737
bandwidth_mhz,40.0,50,50,241.36555958937487,12.108916737158912,237.9242435292147,244.80687564953504,50,0.18,0.016659862556700857,0.17526531944839455,0.18473468055160544,50,42.48286769112975,5.064340121415736,41.04359815346253,43.92213722879696,50,0.8369769536101547,0.022869428807552553,0.8304775338560648,0.8434763733642445
downlink_power_w,0.5,50,50,248.04992306846404,13.664727135095967,244.1664505854626,251.93339555146548,50,0.13720000000000002,0.019170555653961432,0.13175178836503829,0.14264821163496175,50,43.98760567001704,5.599540724521472,42.39623380388775,45.578977536146326,50,0.8289825501128674,0.02235868102167681,0.8226282832734748,0.8353368169522599
downlink_power_w,1.0,50,50,246.52507268866214,13.213356263750423,242.76987838795947,250.2802669893648,50,0.14600000000000002,0.019059520091609047,0.14058334432270705,0.15141665567729298,50,43.604948428811255,5.4665779883358585,42.05136415420403,45.15853270341848,50,0.8315178546713505,0.022675116819580718,0.8250736577732274,0.8379620515694737
downlink_power_w,2.0,50,50,245.12146208894796,12.794865811116189,241.48520145893892,248.757722718957,50,0.15439999999999998,0.01918332609325088,0.1489481590463489,0.15985184095365107,50,43.23955869812786,5.346168579429647,41.72019439890388,44.75892299735184,50,0.8333441099680802,0.02276422676580117,0.8268745883034477,0.8398136316327126
image_payload_mb,0.1,50,50,240.69929296772338,14.89392610423451,236.46648600291417,244.9320999325326,50,0.19879999999999998,0.007730142433410676,0.19660311782789056,0.2009968821721094,50,43.011637752582914,5.550129778844808,41.43430832184201,44.58896718332382,50,0.8284271783328279,0.024056634742930436,0.8215903583850777,0.8352639982805781
image_payload_mb,0.5,50,50,246.52507268866214,13.213356263750423,242.76987838795947,250.2802669893648,50,0.14600000000000002,0.019059520091609047,0.14058334432270705,0.15141665567729298,50,43.604948428811255,5.4665779883358585,42.05136415420403,45.15853270341848,50,0.8315178546713505,0.022675116819580718,0.8250736577732274,0.8379620515694737
image_payload_mb,1.0,50,50,252.91879154619562,14.769161146397241,248.72144239007983,257.11614070231144,50,0.1016,0.017769499206247104,0.0965499642018507,0.10665003579814929,50,45.23669927322353,6.030025537410898,43.522984976932406,46.95041356951465,50,0.8236450820380545,0.02310010213215616,0.8170801056504655,0.8302100584256435
path_loss_exponent,3.0,50,50,241.27045581083397,11.75761117595927,237.9289796864849,244.61193193518304,50,0.1704,0.018511992803342932,0.16513894985633035,0.17566105014366964,50,42.308601821323755,4.91675539973364,40.9112753974778,43.70592824516971,50,0.8390433725753005,0.025215154330961383,0.8318773050036017,0.8462094401469993
path_loss_exponent,3.5,50,50,246.52507268866214,13.213356263750423,242.76987838795947,250.2802669893648,50,0.14600000000000002,0.019059520091609047,0.14058334432270705,0.15141665567729298,50,43.604948428811255,5.4665779883358585,42.05136415420403,45.15853270341848,50,0.8315178546713505,0.022675116819580718,0.8250736577732274,0.8379620515694737
path_loss_exponent,3.8,50,50,250.80363542991242,14.581906289433054,246.65950351532214,254.9477673445027,50,0.1246,0.01908199279372026,0.11917695765143253,0.13002304234856749,50,44.70629759755761,5.8077014134212686,43.055767118205175,46.35682807691004,50,0.8239196291076545,0.02106929924445802,0.8179318005148809,0.8299074577004281
uplink_power_w,0.1,50,50,246.4417374920878,13.249939708712791,242.67614629136364,250.20732869281198,50,0.1464,0.019140724827936256,0.14096026619199148,0.15183973380800853,50,43.57992294174703,5.470122272691874,42.02533139267084,45.134514490823214,50,0.8319288536482962,0.02316636225206463,0.8253450463429844,0.8385126609536079
uplink_power_w,0.2,50,50,246.52507268866214,13.213356263750423,242.76987838795947,250.2802669893648,50,0.14600000000000002,0.019059520091609047,0.14058334432270705,0.15141665567729298,50,43.604948428811255,5.4665779883358585,42.05136415420403,45.15853270341848,50,0.8315178546713505,0.022675116819580718,0.8250736577732274,0.8379620515694737
uplink_power_w,0.4,50,50,246.67783092016617,13.163614911176433,242.93677295545314,250.4188888848792,50,0.14600000000000002,0.018405855323893033,0.14076911379424029,0.15123088620575975,50,43.635060163745294,5.480576506833708,42.07749755419938,45.192622773291205,50,0.8310374368967988,0.02215573479615295,0.8247408467365348,0.8373340270570627
