factor,value,distance_layer,independent_instances,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,mean_end_to_end_delay_seconds_n,mean_end_to_end_delay_seconds_mean,mean_end_to_end_delay_seconds_std,mean_end_to_end_delay_seconds_ci95_low,mean_end_to_end_delay_seconds_ci95_high,mean_service_quality_n,mean_service_quality_mean,mean_service_quality_std,mean_service_quality_ci95_low,mean_service_quality_ci95_high
bandwidth_mhz,10.0,far,50,50,0.05834224598930479,0.0432016540979982,0.046064471742439494,0.07062002023617009,50,46.46712410118754,9.225135155359515,43.84536969851125,49.088878503863825,50,0.02807061428519373,0.003059275676230299,0.027201177757914505,0.028940050812472955
bandwidth_mhz,10.0,middle,50,50,0.0872738413547237,0.0463807861861429,0.07409256776520211,0.10045511494424529,50,45.532761582540225,6.950127146520629,43.557557302203556,47.507965862876894,50,0.02776100692876177,0.002846531656156234,0.026952031583013115,0.028569982274510426
bandwidth_mhz,10.0,near,50,50,0.1833689839572192,0.05469490266019762,0.16782486460954602,0.1989131033048924,50,42.58066328920234,6.205618078862173,40.81704614478226,44.34428043362242,50,0.02906790896215602,0.0029198200617022827,0.028238105282006886,0.029897712642305157
bandwidth_mhz,20.0,far,50,50,0.08579322638146163,0.04938740381904368,0.07175748151499162,0.09982897124793164,50,45.411186349309816,8.797979981376866,42.91082810388813,47.9115445947315,50,0.02839002602118538,0.003110829595136628,0.027505938032264494,0.029274114010106263
bandwidth_mhz,20.0,middle,50,50,0.12322860962566845,0.057929966084241856,0.10676509542555264,0.13969212382578428,50,44.34727127117204,6.476480476783088,42.5066758849908,46.18786665735328,50,0.02821163872782682,0.0029124101102909515,0.02738394093256816,0.02903933652308548
bandwidth_mhz,20.0,near,50,50,0.22798573975044562,0.054359299032263594,0.21253699789852423,0.243434481602367,50,41.09917247153207,5.51247637921767,39.532544018563925,42.66580092450022,50,0.02968008924794569,0.0030433212172606204,0.028815186927736786,0.030544991568154597
bandwidth_mhz,40.0,far,50,50,0.11333333333333333,0.053201290679788564,0.09821369381382314,0.12845297285284352,50,44.37496960536262,8.166380163573974,42.0541100420922,46.69582916863305,50,0.028730010147127786,0.0030904421714499745,0.02785171619991031,0.029608304094345263
bandwidth_mhz,40.0,middle,50,50,0.16221479500891264,0.060435284539050456,0.1450392771819248,0.17939031283590048,50,43.030339120343214,5.985033896093472,41.32941130703809,44.731266933648335,50,0.028710452319972473,0.0029782235739251725,0.027864050545299685,0.02955685409464526
bandwidth_mhz,40.0,near,50,50,0.2636007130124777,0.055263031710441064,0.24789513317520956,0.2793062928497459,50,40.07796698963978,5.437494234684676,38.53264822636624,41.623285752913326,50,0.030182653978465635,0.0031099013483814274,0.029298829794353703,0.031066478162577568
downlink_power_w,0.5,far,50,50,0.0678609625668449,0.04552422047997439,0.054923122257541875,0.08079880287614793,50,46.09466885099564,8.929940310538582,43.55680789497601,48.63252980701527,50,0.028196988311094243,0.0031082917700263656,0.027313621564089494,0.029080355058098993
