config_hash,task_pool_id,wireless_index,wireless_seed,factor,value,jain_service_quality,updates,runtime_seconds,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,bandwidth_mhz,10.0,0.8698452110262691,896,0.05846933403518051,100,11,0.11,233.8846430436685,233.8846430436685,0.0,10.194174757281552,10.194174757281552,37.89473684210527,36.0,0.26901294498381867,2.74625,2.74625,5.0,0.54925,0,0,0,0,4281.429300846084,42.81429300846084,7783.963239316107,599.751301950656,69.38539237337501,112.00332042058658
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,bandwidth_mhz,20.0,0.8639630015684948,462,0.028140375041402876,100,15,0.15,230.05564188002108,230.05564188002108,0.0,14.077669902912621,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.7212499999999995,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,bandwidth_mhz,40.0,0.8810129092580886,628,0.06224254204425961,100,17,0.17,225.7612048048344,225.7612048048344,0.0,16.019417475728154,16.019417475728154,37.89473684210527,36.0,0.4227346278317151,4.20875,4.20875,5.0,0.84175,0,0,0,0,4082.5829042212554,40.825829042212554,6873.240276241559,466.50621722790123,49.42801420933852,203.07638402242458
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,image_payload_mb,0.1,0.8897954477471287,595,0.0370219589676708,100,20,0.2,220.5666364810719,220.5666364810719,0.0,18.446601941747574,18.446601941747574,37.89473684210527,36.0,0.4867853290183387,4.940000000000001,4.940000000000001,5.0,0.9880000000000002,0,0,0,0,3958.510755206863,39.58510755206863,6311.708889482074,348.41216917130083,45.44447410366637,257.12559117183395
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,image_payload_mb,0.5,0.8639630015684948,462,0.02574558393098414,100,15,0.15,230.05564188002108,230.05564188002108,0.0,14.077669902912621,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.7212499999999995,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,image_payload_mb,1.0,0.863364752074283,942,0.0510030830046162,100,10,0.1,234.4148578084496,234.4148578084496,0.0,9.466019417475726,9.466019417475726,37.89473684210527,36.0,0.24979773462783164,2.55125,2.55125,5.0,0.51025,0,0,0,0,4318.277873175188,43.18277873175188,7956.6230518934335,524.5438556691718,62.305189343275266,103.2434618495551
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,uplink_power_w,0.1,0.8639417931128146,499,0.026455124956555665,100,15,0.15,229.75634665808738,229.75634665808738,0.0,14.077669902912621,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.7212499999999995,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.147457769198,42.12147457769198,7467.043092698181,428.7284654542511,42.872846545425105,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,uplink_power_w,0.2,0.8639630015684948,462,0.026778041035868227,100,15,0.15,230.05564188002108,230.05564188002108,0.0,14.077669902912621,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.7212499999999995,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,uplink_power_w,0.4,0.8639688979833413,462,0.02479170903097838,100,15,0.15,230.62628205574183,230.62628205574183,0.0,14.077669902912621,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.7212499999999995,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4211.997820038024,42.11997820038024,7467.232043550829,418.75261670931513,55.46957005531155,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,downlink_power_w,0.5,0.8569787149061124,790,0.04919116699602455,100,14,0.14,230.806702108951,230.806702108951,0.0,13.349514563106794,13.349514563106794,37.89473684210527,36.0,0.35227885652642926,3.5262499999999997,3.5262499999999997,5.0,0.7052499999999999,0,0,0,0,4250.667994897879,42.50667994897879,7646.998851608245,377.4596424030748,42.77511487466109,155.96856458832096
