config_hash,iteration,selected_task_index,strategy_before,strategy_after,candidate_local_objective,candidate_offload_objective,objective_before,objective_after,accepted,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,0,44,1,0,240.01031586671286,241.2528471101085,241.2528471101085,240.01031586671286,True,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,15,0,0,240.01031586671286,inf,240.01031586671286,240.01031586671286,False,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,2,47,0,0,240.01031586671286,inf,240.01031586671286,240.01031586671286,False,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,3,42,0,0,240.01031586671286,inf,240.01031586671286,240.01031586671286,False,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,47,0,0,240.01031586671286,inf,240.01031586671286,240.01031586671286,False,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,5,57,0,0,240.01031586671286,inf,240.01031586671286,240.01031586671286,False,100,20,0.2,240.01031586671286,240.01031586671286,0.0,17.96116504854369,17.96116504854369,37.89473684210527,36.0,0.473975188781014,4.777500000000001,4.777500000000001,5.0,0.9555000000000001,0,0,0,0,4239.512464018268,42.39512464018267,7543.649180154124,730.3604477731412,82.45900770621498,245.2627531402204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,6,43,1,0,239.3168190771481,240.01031586671286,240.01031586671286,239.3168190771481,True,100,19,0.19,239.3168190771481,239.3168190771481,0.0,16.990291262135923,16.990291262135923,37.89473684210527,36.0,0.4483549083063646,4.533750000000001,4.533750000000001,5.0,0.9067500000000003,0,0,0,0,4253.748191479014,42.53748191479014,7615.531150468882,710.9254118880193,80.58686678320238,223.18992911268637
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,7,54,1,0,238.40797094955474,239.3168190771481,239.3168190771481,238.40797094955474,True,100,18,0.18,238.40797094955474,238.40797094955474,0.0,16.019417475728154,16.019417475728154,37.89473684210527,36.0,0.4227346278317151,4.290000000000001,4.290000000000001,5.0,0.8580000000000002,0,0,0,0,4263.946926727987,42.63946926727987,7669.401364025871,682.8639897546566,77.85355699287992,203.07638402242458
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,8,28,0,0,238.40797094955474,239.50030036450218,238.40797094955474,238.40797094955474,False,100,18,0.18,238.40797094955474,238.40797094955474,0.0,16.019417475728154,16.019417475728154,37.89473684210527,36.0,0.4227346278317151,4.290000000000001,4.290000000000001,5.0,0.8580000000000002,0,0,0,0,4263.946926727987,42.63946926727987,7669.401364025871,682.8639897546566,77.85355699287992,203.07638402242458
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,9,86,0,0,238.40797094955474,241.4224533300278,238.40797094955474,238.40797094955474,False,100,18,0.18,238.40797094955474,238.40797094955474,0.0,16.019417475728154,16.019417475728154,37.89473684210527,36.0,0.4227346278317151,4.290000000000001,4.290000000000001,5.0,0.8580000000000002,0,0,0,0,4263.946926727987,42.63946926727987,7669.401364025871,682.8639897546566,77.85355699287992,203.07638402242458
