config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits,strategy_feasible_estimated,quantized_oracle_objective,quantized_oracle_gap_percent,runtime_seconds,updates,changes,swaps,full_single_flip_pass,signaling_payload_bytes,signaling_header_bytes,signaling_total_bytes,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task,raw_strategy_quantized_feasible,raw_strategy_quantized_objective,quantized_projected_strategy_bits,quantized_projection_change_rate,projected_strategy_quantized_objective
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,wa_mcbr_swap,0001010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,1,230.20713178459317,1.2346146363961674e-14,0.0483382500242441,462,27,1,True,17556,36960,54516,100,15,0.15,230.0205176312304,230.0205176312304,0.0,14.07766990291262,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,3.721249999999999,3.721249999999999,5.0,0.7442499999999999,0,0,0,0,4217.387137410231,42.17387137410231,7492.282181150928,404.7071081897746,45.47874339526108,167.76871915897868,1,230.2071317845932,0001010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,0.0,230.2071317845932
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,capacity_greedy,0000000001000000001000000000000000010000000000000010110000000000001000110000010000000000001110000000,1,230.20713178459317,0.4466591508946762,0.013004875043407,0,0,0,,0,0,0,100,13,0.13,231.10884909141436,231.10884909141436,0.0,12.135922330097086,12.135922330097086,37.89473684210527,36.0,0.3202535059331175,3.2337499999999997,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4149.148763871112,41.49148763871112,7172.349107343755,750.5822818164374,88.39287259654824,137.78416980757785,1,231.23537300472123,0000000001000000001000000000000000010000000000000010110000000000001000110000010000000000001110000000,0.0,231.23537300472123
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,lagrangian_relaxation,0011010101000000001000000000000001010000000100001010010000000000001000110000001000000000001101000001,1,230.20713178459317,0.032016792747107885,0.0084177090320736,300,0,0,False,0,0,0,100,20,0.2,231.59066558776192,231.59066558776192,0.0,18.93203883495146,18.93203883495146,37.89473684210527,36.0,0.4995954692556634,4.940000000000001,4.940000000000001,5.0,0.9880000000000002,0,0,0,0,4133.701458121333,41.33701458121333,7082.367906823968,535.4771097853306,58.395341198376485,269.5957962813258,0,inf,0011010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,0.04,230.2808367248657
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,legacy_count_br,1010110101000001001000000000000000000000000100001010010000000000010010100000001000010000000101010000,1,230.20713178459317,1.2260207023291483,0.0026310000102967,345,12,0,False,0,0,0,100,20,0.2,235.0634916059188,235.0634916059188,0.0,18.93203883495146,18.93203883495146,37.89473684210527,36.0,0.4995954692556634,4.8587500000000015,4.8587500000000015,5.0,0.9717500000000004,0,0,0,0,4173.099085844159,41.730990858441594,7251.748487033094,625.3584959266476,67.42435165470259,269.5957962813258,0,inf,1010010101000000001000000000000000000000000100001010010000000000010010100000001000000000000101010000,0.03,233.02951887851043
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,random_feasible,1111100001000000000000000000100000000000000110000100010000010000010010011000010000000000010101100000,1,230.20713178459317,2.281034936103477,0.0003431249642744,0,0,0,,0,0,0,100,21,0.21,239.55391325312104,239.55391325312104,0.0,18.68932038834951,18.68932038834951,37.89473684210527,36.0,0.4931903991370009,4.875000000000002,4.875000000000002,5.0,0.9750000000000004,0,0,0,0,4168.243414844221,41.682434148442205,7205.4508825213525,853.0711934472846,88.13726292155543,263.28189437275495,0,inf,1111100001000000000000000000000000000000000100000100010000010000010010011000000000000000000101100000,0.04,235.45823688600152
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,230.20713178459317,5.782995562389355,0.0,0,0,0,,0,0,0,100,0,0.0,243.52,243.52,0.0,0.0,0.0,37.89473684210527,36.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,4579.199999999999,45.79199999999999,9158.399999999998,0.0,0.0,0.0,1,243.52,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,243.52
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,230.20713178459317,0.032016792747107885,0.0,0,0,0,,0,0,0,100,100,1.0,inf,inf,0.0,99.99999999999996,99.99999999999996,37.89473684210527,36.0,2.638888888888888,26.812499999999993,26.812499999999993,5.0,5.362499999999999,1,1,1,1,inf,inf,122.23048136173882,10540.485602391183,1222.3048136173882,inf,0,inf,0011010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,0.84,230.2808367248657
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,qdp_oracle,0001010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,1,230.20713178459317,1.2346146363961674e-14,1.230441665975377,0,0,0,,0,0,0,100,15,0.15,230.0205176312304,230.0205176312304,0.0,14.07766990291262,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,3.721249999999999,3.721249999999999,5.0,0.7442499999999999,0,0,0,0,4217.387137410231,42.17387137410231,7492.282181150928,404.7071081897746,45.47874339526108,167.76871915897868,1,230.2071317845932,0001010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001,0.0,230.2071317845932
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,wa_mcbr,0010000000000000001000000000000000000000000000001010010000000000000000101000000000000000000100000000,1,233.95784667482812,0.5535978878320701,0.0050932499580085,100,0,0,True,3800,8000,11800,100,8,0.08,234.41401288362815,234.41401288362815,0.0,7.524271844660195,7.524271844660195,18.947368421052634,18.0,0.3971143473570658,1.9825,1.9825,2.0,0.99125,0,0,0,0,4338.3887907488825,43.38388790748883,8053.575296746699,413.9265107988274,46.91209333741886,184.67233281145153,0,inf,0000000000000000001000000000000000000000000000000010010000000000000000101000000000000000000100000000,0.02,235.25303237243736
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,wa_mcbr_swap,0000000001000000001000000000000000010000000000000010110000000000000000000000010000000000000100000000,1,233.95784667482812,0.014668125993445049,0.0340676249470561,100,0,4,True,3800,8000,11800,100,8,0.08,233.3576514531894,233.3576514531894,0.0,7.038834951456311,7.038834951456311,18.947368421052634,18.0,0.3714940668824164,1.93375,1.93375,2.0,0.966875,0,0,0,0,4286.87960475811,42.8687960475811,7816.117799283944,592.1818756047778,64.72491049301618,167.76871915897874,0,inf,0000000001000000001000000000000000010000000000000010010000000000000000000000010000000000000100000000,0.01,233.99216390654993
