config_hash,task_pool_id,wireless_index,error_magnitude,q_error_sign,v_error_sign,protection,strategy_change_rate,true_public_objective_J,baseline_true_public_objective_J,objective_degradation_percent,updates,runtime_seconds,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,-1,no_margin,0.03,230.05518433093516,230.05564188002108,-0.00019888627037499865,857,0.05131233297288418,100,16,0.16,229.8436392616765,229.8436392616765,0.0,14.296116504854368,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,3.76675,3.965,5.0,0.7929999999999999,0,0,0,0,4194.865897156191,41.94865897156191,7384.390749195847,444.44623945047323,49.42182474046293,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,-1,fixed_margin,0.04,230.02991306163406,230.05564188002108,-0.01118373719364863,487,0.02915441698860377,100,15,0.15,230.19294955677483,230.19294955677483,0.0,14.711165048543688,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,3.888706249999999,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4208.2221061961745,42.08222106196175,7449.1258966917485,433.7050272526829,48.39311278324157,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,-1,conservative_quantization,0.0,230.05564188002108,230.05564188002108,0.0,536,0.051607334055006504,100,15,0.15,230.0864456106284,230.0864456106284,0.0,14.2,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,4.5,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,1,no_margin,0.03,230.05518433093516,230.05564188002108,-0.00019888627037499865,857,0.05552870791871101,100,16,0.16,229.8436392616765,229.8436392616765,0.0,14.296116504854368,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,4.16325,3.965,5.0,0.7929999999999999,0,0,0,0,4194.865897156191,41.94865897156191,7384.390749195847,444.44623945047323,49.42182474046293,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,1,fixed_margin,0.04,230.02991306163406,230.05564188002108,-0.01118373719364863,487,0.02702916704583913,100,15,0.15,230.19294955677483,230.19294955677483,0.0,14.711165048543688,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,4.29804375,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4208.2221061961745,42.08222106196175,7449.1258966917485,433.7050272526829,48.39311278324157,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,-1,1,conservative_quantization,0.0,230.05564188002108,230.05564188002108,0.0,536,0.02685995795764029,100,15,0.15,230.0864456106284,230.0864456106284,0.0,14.2,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,4.7,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,-1,no_margin,0.04,230.02991306163406,230.05564188002108,-0.01118373719364863,487,0.025950457900762558,100,15,0.15,230.21161639794363,230.21161639794363,0.0,14.78155339805825,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,3.5351874999999993,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4208.2221061961745,42.08222106196175,7449.1258966917485,433.7050272526829,48.39311278324157,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,-1,fixed_margin,0.03,230.114482421361,230.05564188002108,0.025576656524948546,487,0.027623499976471066,100,14,0.14,230.59215621525772,230.59215621525772,0.0,15.138349514563107,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,3.633987499999999,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.510994130075,42.25510994130075,7531.848954358422,412.88176995900164,46.35388274442426,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,-1,conservative_quantization,0.01,230.1278352939893,230.05564188002108,0.031380849162513595,462,0.024287625099532306,100,14,0.14,230.4708145018578,230.4708145018578,0.0,14.600000000000001,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.2,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.524314164775,42.25524314164775,7531.850292929477,413.8332010089866,46.44949496268755,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,1,no_margin,0.02,230.0440031609584,230.05564188002108,-0.005059088735045209,604,0.03691858402453363,100,15,0.15,230.22570649726796,230.22570649726796,0.0,14.78155339805825,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,3.9073124999999997,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4208.236161650043,42.08236161650043,7449.127309166226,434.64205751055175,48.48727774844562,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,1,fixed_margin,0.03,230.114482421361,230.05564188002108,0.025576656524948546,487,0.025725000072270632,100,14,0.14,230.59215621525772,230.59215621525772,0.0,15.138349514563107,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.0165125,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.510994130075,42.25510994130075,7531.848954358422,412.88176995900164,46.35388274442426,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.05,1,1,conservative_quantization,0.01,230.1278352939893,230.05564188002108,0.031380849162513595,462,0.024943416938185692,100,14,0.14,230.4708145018578,230.4708145018578,0.0,14.600000000000001,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.4,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.524314164775,42.25524314164775,7531.850292929477,413.8332010089866,46.44949496268755,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,-1,no_margin,0.01,230.1027453139541,230.05564188002108,0.020474800595232896,709,0.03811016702093184,100,16,0.16,229.69272831002846,229.69272831002846,0.0,13.54368932038835,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,3.5685000000000002,3.965,5.0,0.7929999999999999,0,0,0,0,4189.561711339424,41.89561711339424,7359.220457751906,462.934625902495,51.27860949410864,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,-1,fixed_margin,0.02,230.04155178069678,230.05564188002108,-0.006124648458591065,499,0.027012749924324453,100,15,0.15,230.0064923437296,230.0064923437296,0.0,13.936893203883496,14.077669902912621,37.89473684210527,36.0,0.3714940668824164,3.6840374999999996,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4212.056481413155,42.12056481413155,7467.109231358308,422.66337505136926,47.28209055383872,167.76871915897874
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,-1,conservative_quantization,0.03,230.05518433093516,230.05564188002108,-0.00019888627037499865,800,0.041119207977317274,100,16,0.16,229.7640393407537,229.7640393407537,0.0,14.0,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,4.6000000000000005,3.965,5.0,0.7929999999999999,0,0,0,0,4194.865897156191,41.94865897156191,7384.390749195847,444.44623945047323,49.42182474046293,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,1,no_margin,0.01,230.1027453139541,230.05564188002108,0.020474800595232896,709,0.03721275005955249,100,16,0.16,229.69272831002846,229.69272831002846,0.0,13.54368932038835,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,4.3614999999999995,3.965,5.0,0.7929999999999999,0,0,0,0,4189.561711339424,41.89561711339424,7359.220457751906,462.934625902495,51.27860949410864,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,1,fixed_margin,0.02,230.02051763123038,230.05564188002108,-0.015267718932547057,801,0.0440132919466123,100,15,0.15,229.9854581942632,229.9854581942632,0.0,13.936893203883496,14.07766990291262,37.89473684210527,36.0,0.3714940668824163,4.5027125,3.7212499999999995,5.0,0.7442499999999999,0,0,0,0,4217.387137410231,42.17387137410231,7492.282181150928,404.7071081897746,45.47874339526108,167.76871915897868
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,-1,1,conservative_quantization,0.03,230.05518433093516,230.05564188002108,-0.00019888627037499865,800,0.04244062502402812,100,16,0.16,229.7640393407537,229.7640393407537,0.0,14.0,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,5.000000000000001,3.965,5.0,0.7929999999999999,0,0,0,0,4194.865897156191,41.94865897156191,7384.390749195847,444.44623945047323,49.42182474046293,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,-1,no_margin,0.03,230.11982600885287,230.05564188002108,0.027899393515094437,485,0.028145499993115664,100,14,0.14,230.41854002744935,230.41854002744935,0.0,14.417475728155342,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,3.1297499999999996,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4216.34190933538,42.163419093353795,7488.692264888723,443.6614274807096,49.447492051661136,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,-1,fixed_margin,0.04,230.23464709299623,230.05564188002108,0.07780952969129817,659,0.039812250062823296,100,13,0.13,230.75963374300227,230.75963374300227,0.0,14.684466019417481,12.135922330097088,37.89473684210527,36.0,0.3202535059331176,3.2014125,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4235.190171998265,42.35190171998265,7578.606570575801,415.305983905107,46.65927506159025,137.78416980757785
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,-1,conservative_quantization,0.03,230.114482421361,230.05564188002108,0.025576656524948546,487,0.03337066597305238,100,14,0.14,230.6079889148675,230.6079889148675,0.0,15.2,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.0,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.510994130075,42.25510994130075,7531.848954358422,412.88176995900164,46.35388274442426,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,1,no_margin,0.01,230.1278352939893,230.05564188002108,0.031380849162513595,698,0.036922457977198064,100,14,0.14,230.4265493125858,230.4265493125858,0.0,14.417475728155342,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,3.82525,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4225.524314164775,42.25524314164775,7531.850292929477,413.8332010089866,46.44949496268755,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,1,fixed_margin,0.03,230.09099300351846,230.05564188002108,0.015366336251737906,800,0.0419013750506565,100,14,0.14,230.75933561780704,230.75933561780704,0.0,15.85922330097088,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.207775000000001,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4230.83919868144,42.30839198681441,7557.021658241939,393.4678093422555,44.40416013850756,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.1,1,1,conservative_quantization,0.01,230.1043458761468,230.05564188002108,0.02117052888931531,536,0.027526582940481603,100,14,0.14,230.59785236965328,230.59785236965328,0.0,15.2,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,4.4,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4230.85251871614,42.3085251871614,7557.022996812994,394.41924039224034,44.49977235677084,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,-1,no_margin,0.02,230.21002011940627,230.05564188002108,0.06710473958543164,709,0.03817287506535649,100,17,0.17,229.26948198222308,229.26948198222308,0.0,12.815533980582526,16.019417475728158,37.89473684210527,36.0,0.4227346278317152,3.367,4.20875,5.0,0.84175,0,0,0,0,4176.287646010115,41.762876460101154,7294.487565125588,472.6674989255288,52.209713269832854,203.07638402242466
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,-1,fixed_margin,0.01,230.06143246372505,230.05564188002108,0.0025170361642292173,604,0.03312779194675386,100,16,0.16,229.5754190239918,229.5754190239918,0.0,13.242718446601945,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,3.4892000000000003,3.965,5.0,0.7929999999999999,0,0,0,0,4198.694892126756,41.986948921267555,7402.373543769793,433.7584251107859,48.34648561208275,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,-1,conservative_quantization,0.03,230.05518433093516,230.05564188002108,-0.00019888627037499865,1087,0.06365991709753871,100,16,0.16,229.36592659307001,229.36592659307001,0.0,12.4,15.04854368932039,37.89473684210527,36.0,0.3971143473570658,3.4000000000000004,3.965,5.0,0.7929999999999999,0,0,0,0,4194.865897156191,41.94865897156191,7384.390749195847,444.44623945047323,49.42182474046293,184.67233281145153
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,1,no_margin,0.03,230.4724850292517,230.05564188002108,0.18119231757332596,558,0.030175583087839186,100,16,0.16,229.72622696885546,229.72622696885546,0.0,11.84466019417476,14.805825242718447,37.89473684210527,36.0,0.39070927723840343,4.6605,3.88375,5.0,0.77675,0,0,0,0,4203.69205363724,42.0369205363724,7424.000346146448,450.4401953063969,50.02163415300167,180.3131570211353
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,1,fixed_margin,0.08,231.16667703790984,230.05564188002108,0.48294193039968075,457,0.023203958990052342,100,15,0.15,230.7854298221939,230.7854298221939,0.0,12.174757281553399,13.834951456310677,37.89473684210527,36.0,0.36508899676375395,4.804799999999998,3.6399999999999997,5.0,0.728,0,0,0,0,4226.1759958330185,42.26175995833019,7528.367435197754,461.31041562800243,51.16234651690918,163.75597323988524
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,-1,1,conservative_quantization,0.03,230.5845549289898,230.05564188002108,0.22990657592503538,566,0.027679749997332692,100,16,0.16,229.91876604713096,229.91876604713096,0.0,12.200000000000001,14.805825242718447,37.89473684210527,36.0,0.39070927723840343,4.9,3.88375,5.0,0.77675,0,0,0,0,4201.5103496807715,42.01510349680771,7413.222263855377,464.08369802708654,51.39149096099258,180.3131570211353
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,-1,no_margin,0.01,230.1043458761468,230.05564188002108,0.02117052888931531,912,0.04662183404434472,100,14,0.14,230.737099015124,230.737099015124,0.0,15.728155339805824,13.106796116504855,37.89473684210527,36.0,0.34587378640776695,2.782,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4230.85251871614,42.3085251871614,7557.022996812994,394.41924039224034,44.49977235677084,152.18923933209643
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,-1,fixed_margin,0.02,230.40303330779648,230.05564188002108,0.1510032203237876,942,0.04983550007455051,100,13,0.13,231.2518320925895,231.2518320925895,0.0,16.019417475728154,12.135922330097085,37.89473684210527,36.0,0.32025350593311747,2.845700000000001,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4249.884273431673,42.49884273431673,7646.955726564308,376.3907095519406,42.748197254517954,137.7841698075778
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,-1,conservative_quantization,0.06,230.41147724703458,230.05564188002108,0.1546736103081851,923,0.049722749972715974,100,13,0.13,231.00959338436365,231.00959338436365,0.0,14.999999999999998,12.135922330097086,37.89473684210527,36.0,0.3202535059331175,2.8000000000000007,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4201.730945647891,42.017309456478905,7420.380748130534,549.2116492609708,60.05754850266264,137.78416980757783
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,1,no_margin,0.03,230.1053548214497,230.05564188002108,0.021609094661781795,851,0.06419220799580216,100,14,0.14,230.7381079604269,230.7381079604269,0.0,15.728155339805824,13.106796116504853,37.89473684210527,36.0,0.3458737864077669,4.173,3.4774999999999996,5.0,0.6954999999999999,0,0,0,0,4230.853536075715,42.30853536075715,7557.023096866097,394.49190893325516,44.50691900699699,152.1892393320964
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,0.2,1,1,fixed_margin,0.06,230.37823679978763,230.05564188002108,0.1402247374288627,487,0.050432374933734536,100,13,0.13,231.22703558458065,231.22703558458065,0.0,16.019417475728154,12.135922330097086,37.89473684210527,36.0,0.3202535059331175,4.268549999999999,3.2337499999999997,5.0,0.6467499999999999,0,0,0,0,4240.685120936445,42.40685120936445,7603.796015845563,407.22513299588456,45.847372735627964,137.78416980757783
