gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-12-03 00:03:19,TXT_2_IMG,SUCCEED,11.0,G3047,59.0,26.0,1.0,30.0,M0002,0,17796,2024-12-03,4,0,pool04-task000
2024-12-03 00:12:56,TXT_2_IMG,SUCCEED,17.0,G3053,51.0,26.0,8.0,30.0,M0002,0,17841,2024-12-03,4,1,pool04-task001
2024-12-03 00:27:49,IMG_2_IMG,SUCCEED,25.0,G0263,54.0,0.0,1.0,30.0,M0001,0,17921,2024-12-03,4,2,pool04-task002
2024-12-03 00:28:39,IMG_2_IMG,SUCCEED,26.0,G0263,51.0,0.0,1.0,30.0,M0001,0,17928,2024-12-03,4,3,pool04-task003
2024-12-03 00:31:55,TXT_2_IMG,SUCCEED,16.0,G3062,16.0,26.0,1.0,30.0,M0004,0,17948,2024-12-03,4,4,pool04-task004
2024-12-03 00:33:53,TXT_2_IMG,SUCCEED,16.0,G2819,52.0,26.0,4.0,30.0,M0002,0,17961,2024-12-03,4,5,pool04-task005
2024-12-03 00:40:30,TXT_2_IMG,SUCCEED,18.0,G3081,47.0,26.0,1.0,30.0,M0002,0,18010,2024-12-03,4,6,pool04-task006
2024-12-03 00:41:00,IMG_2_IMG,SUCCEED,34.0,G0263,70.0,0.0,1.0,30.0,M0001,0,18013,2024-12-03,4,7,pool04-task007
2024-12-03 00:44:52,TXT_2_IMG,SUCCEED,33.0,G1397,22.0,26.0,1.0,30.0,M0007,0,18054,2024-12-03,4,8,pool04-task008
2024-12-03 00:45:11,TXT_2_IMG,SUCCEED,35.0,G3087,71.0,0.0,1.0,30.0,M0004,0,18058,2024-12-03,4,9,pool04-task009
2024-12-03 00:48:55,TXT_2_IMG,SUCCEED,21.0,G3073,44.0,26.0,4.0,30.0,M0006,0,18089,2024-12-03,4,10,pool04-task010
2024-12-03 00:53:39,TXT_2_IMG,SUCCEED,17.0,G2212,56.0,26.0,2.0,30.0,M0002,0,18123,2024-12-03,4,11,pool04-task011
2024-12-03 00:54:12,IMG_2_IMG,SUCCEED,32.0,G2914,12.0,0.0,1.0,30.0,M0001,0,18129,2024-12-03,4,12,pool04-task012
2024-12-03 00:55:47,IMG_2_IMG,SUCCEED,27.0,G0263,56.0,0.0,1.0,30.0,M0001,0,18138,2024-12-03,4,13,pool04-task013
2024-12-03 00:56:18,TXT_2_IMG,SUCCEED,38.0,G3089,4.0,26.0,1.0,30.0,M0038,1,18144,2024-12-03,4,14,pool04-task014
2024-12-03 01:00:52,INPAINTING,SUCCEED,41.0,G0263,51.0,0.0,1.0,30.0,M0001,0,18165,2024-12-03,4,15,pool04-task015
2024-12-03 01:07:30,TXT_2_IMG,SUCCEED,22.0,G3097,7.0,26.0,1.0,30.0,M0004,0,18181,2024-12-03,4,16,pool04-task016
2024-12-03 01:14:48,TXT_2_IMG,SUCCEED,42.0,G3104,66.0,26.0,8.0,40.0,M0001,0,18207,2024-12-03,4,17,pool04-task017
2024-12-03 01:18:58,TXT_2_IMG,SUCCEED,29.0,G3104,54.0,26.0,8.0,30.0,M0004,0,18227,2024-12-03,4,18,pool04-task018
2024-12-03 01:24:14,TXT_2_IMG,SUCCEED,32.0,G3071,50.0,26.0,8.0,30.0,M0002,0,18250,2024-12-03,4,19,pool04-task019
2024-12-03 01:40:33,IMG_2_IMG,SUCCEED,33.0,G2914,13.0,0.0,1.0,30.0,M0001,0,18290,2024-12-03,4,20,pool04-task020
2024-12-03 01:41:47,IMG_2_IMG,SUCCEED,16.0,G2650,86.0,17.0,1.0,30.0,M0026,0,18292,2024-12-03,4,21,pool04-task021
2024-12-03 02:09:12,IMG_2_IMG,SUCCEED,12.0,G3124,20.0,28.0,1.0,30.0,M0004,0,18347,2024-12-03,4,22,pool04-task022
2024-12-03 02:31:27,TXT_2_IMG,SUCCEED,22.0,G3137,39.0,26.0,1.0,30.0,M0002,0,18413,2024-12-03,4,23,pool04-task023
2024-12-03 02:38:13,TXT_2_IMG,SUCCEED,47.0,G3139,42.0,26.0,1.0,30.0,M0011,0,18429,2024-12-03,4,24,pool04-task024
2024-12-03 02:42:37,TXT_2_IMG,SUCCEED,29.0,G3140,53.0,26.0,1.0,30.0,M0014,0,18441,2024-12-03,4,25,pool04-task025
2024-12-03 03:07:40,TXT_2_IMG,SUCCEED,23.0,G3140,64.0,26.0,2.0,30.0,M0002,0,18514,2024-12-03,4,26,pool04-task026
2024-12-03 03:08:35,TXT_2_IMG,SUCCEED,13.0,G3154,55.0,26.0,1.0,30.0,M0002,0,18520,2024-12-03,4,27,pool04-task027
2024-12-03 03:18:34,TXT_2_IMG,SUCCEED,28.0,G3141,59.0,26.0,1.0,30.0,M0021,1,18581,2024-12-03,4,28,pool04-task028
2024-12-03 03:23:07,TXT_2_IMG,SUCCEED,38.0,G3140,5.0,26.0,2.0,40.0,M0001,0,18601,2024-12-03,4,29,pool04-task029
2024-12-03 03:23:14,TXT_2_IMG,SUCCEED,25.0,G3140,49.0,26.0,2.0,30.0,M0006,0,18604,2024-12-03,4,30,pool04-task030
2024-12-03 03:31:07,IMG_2_IMG,SUCCEED,23.0,G3164,28.0,0.0,1.0,30.0,M0036,0,18631,2024-12-03,4,31,pool04-task031
2024-12-03 03:37:01,TXT_2_IMG,SUCCEED,15.0,G3157,33.0,26.0,1.0,30.0,M0002,0,18660,2024-12-03,4,32,pool04-task032
2024-12-03 03:37:51,IMG_2_IMG,SUCCEED,91.0,G0432,52.0,0.0,1.0,30.0,M0003,1,18664,2024-12-03,4,33,pool04-task033
2024-12-03 03:45:29,IMG_2_IMG,SUCCEED,22.0,G2861,20.0,26.0,1.0,30.0,M0004,0,18695,2024-12-03,4,34,pool04-task034
2024-12-03 04:16:45,IMG_2_IMG,SUCCEED,48.0,G0432,52.0,0.0,1.0,30.0,M0003,1,18746,2024-12-03,4,35,pool04-task035
2024-12-03 04:38:34,TXT_2_IMG,SUCCEED,10.0,G3182,81.0,26.0,1.0,30.0,M0002,0,18763,2024-12-03,4,36,pool04-task036
2024-12-03 05:04:07,IMG_2_IMG,SUCCEED,30.0,G1397,72.0,26.0,8.0,30.0,M0007,0,18785,2024-12-03,4,37,pool04-task037
2024-12-03 05:18:17,IMG_2_IMG,SUCCEED,10.0,G1397,247.0,26.0,1.0,30.0,M0007,0,18797,2024-12-03,4,38,pool04-task038
2024-12-03 05:21:45,TXT_2_IMG,SUCCEED,11.0,G1397,248.0,26.0,1.0,30.0,M0034,0,18804,2024-12-03,4,39,pool04-task039
2024-12-03 05:23:45,TXT_2_IMG,SUCCEED,20.0,G3189,63.0,26.0,1.0,30.0,M0010,0,18809,2024-12-03,4,40,pool04-task040
2024-12-03 07:13:21,TXT_2_IMG,SUCCEED,18.0,G3195,50.0,26.0,4.0,30.0,M0006,0,18852,2024-12-03,4,41,pool04-task041
2024-12-03 08:30:49,TXT_2_IMG,SUCCEED,15.0,G0535,35.0,26.0,1.0,30.0,M0002,0,18853,2024-12-03,4,42,pool04-task042
2024-12-03 16:32:38,TXT_2_IMG,SUCCEED,25.0,G1433,57.0,26.0,1.0,30.0,M0010,0,18894,2024-12-03,4,43,pool04-task043
2024-12-03 16:43:26,TXT_2_IMG,SUCCEED,122.0,G0146,92.0,0.0,8.0,30.0,M0003,1,18922,2024-12-03,4,44,pool04-task044
2024-12-03 16:43:34,TXT_2_IMG,SUCCEED,135.0,G0146,211.0,0.0,8.0,30.0,M0003,1,18924,2024-12-03,4,45,pool04-task045
2024-12-03 16:54:11,TXT_2_IMG,SUCCEED,25.0,G2005,8.0,26.0,1.0,35.0,M0015,0,18942,2024-12-03,4,46,pool04-task046
2024-12-03 17:02:59,TXT_2_IMG,SUCCEED,135.0,G0146,59.0,0.0,8.0,30.0,M0003,1,18976,2024-12-03,4,47,pool04-task047
2024-12-03 17:06:16,IMG_2_IMG,SUCCEED,14.0,G3017,17.0,26.0,1.0,30.0,M0026,0,18990,2024-12-03,4,48,pool04-task048
2024-12-03 17:15:02,TXT_2_IMG,SUCCEED,17.0,G3198,46.0,26.0,1.0,30.0,M0002,0,19019,2024-12-03,4,49,pool04-task049
2024-12-03 17:20:46,TXT_2_IMG,SUCCEED,14.0,G3219,50.0,26.0,1.0,30.0,M0002,0,19037,2024-12-03,4,50,pool04-task050
2024-12-03 17:22:18,TXT_2_IMG,SUCCEED,39.0,G1012,32.0,26.0,4.0,40.0,M0001,0,19051,2024-12-03,4,51,pool04-task051
2024-12-03 17:27:31,IMG_2_IMG,SUCCEED,48.0,G0198,619.0,0.0,1.0,30.0,M0004,0,19093,2024-12-03,4,52,pool04-task052
2024-12-03 17:27:41,TXT_2_IMG,SUCCEED,62.0,G3226,57.0,26.0,1.0,30.0,M0011,0,19094,2024-12-03,4,53,pool04-task053
2024-12-03 17:40:51,TXT_2_IMG,SUCCEED,22.0,G3226,62.0,26.0,4.0,30.0,M0010,0,19142,2024-12-03,4,54,pool04-task054
2024-12-03 17:48:20,TXT_2_IMG,SUCCEED,19.0,G3234,36.0,26.0,1.0,30.0,M0002,0,19172,2024-12-03,4,55,pool04-task055
2024-12-03 17:49:01,TXT_2_IMG,SUCCEED,26.0,G2982,72.0,26.0,4.0,30.0,M0000,0,19176,2024-12-03,4,56,pool04-task056
2024-12-03 17:50:10,TXT_2_IMG,SUCCEED,8.0,G3184,73.0,0.0,1.0,30.0,M0002,0,19194,2024-12-03,4,57,pool04-task057
2024-12-03 17:51:08,TXT_2_IMG,SUCCEED,24.0,G3212,46.0,26.0,4.0,30.0,M0010,0,19201,2024-12-03,4,58,pool04-task058
2024-12-03 17:55:00,TXT_2_IMG,SUCCEED,138.0,G0146,103.0,0.0,8.0,30.0,M0003,1,19218,2024-12-03,4,59,pool04-task059
2024-12-03 18:01:29,TXT_2_IMG,SUCCEED,20.0,G0198,497.0,42.0,1.0,30.0,M0064,0,19240,2024-12-03,4,60,pool04-task060
2024-12-03 18:03:29,TXT_2_IMG,SUCCEED,15.0,G1795,66.0,26.0,8.0,30.0,M0002,0,19252,2024-12-03,4,61,pool04-task061
2024-12-03 18:11:09,TXT_2_IMG,SUCCEED,82.0,G0250,40.0,0.0,1.0,30.0,M0003,1,19295,2024-12-03,4,62,pool04-task062
2024-12-03 18:13:37,TXT_2_IMG,SUCCEED,129.0,G3140,2.0,26.0,8.0,40.0,M0001,0,19313,2024-12-03,4,63,pool04-task063
2024-12-03 18:17:54,TXT_2_IMG,SUCCEED,28.0,G3140,62.0,26.0,8.0,30.0,M0000,0,19331,2024-12-03,4,64,pool04-task064
2024-12-03 18:23:35,TXT_2_IMG,SUCCEED,55.0,G1373,36.0,26.0,1.0,30.0,M0043,0,19348,2024-12-03,4,65,pool04-task065
2024-12-03 18:25:34,TXT_2_IMG,SUCCEED,14.0,G2803,61.0,26.0,4.0,30.0,M0000,0,19358,2024-12-03,4,66,pool04-task066
2024-12-03 18:52:07,TXT_2_IMG,SUCCEED,16.0,G3269,60.0,26.0,2.0,30.0,M0016,0,19435,2024-12-03,4,67,pool04-task067
2024-12-03 19:00:28,IMG_2_IMG,SUCCEED,33.0,G1854,22.0,26.0,1.0,30.0,M0033,0,19459,2024-12-03,4,68,pool04-task068
