gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-11-20 00:01:22,TXT_2_IMG,SUCCEED,20.0,G0187,42.0,26.0,1.0,30.0,M0002,0,894,2024-11-20,1,0,pool01-task000
2024-11-20 00:06:53,TXT_2_IMG,SUCCEED,16.0,G0123,72.0,26.0,1.0,30.0,M0002,0,911,2024-11-20,1,1,pool01-task001
2024-11-20 00:08:27,TXT_2_IMG,SUCCEED,30.0,G0123,65.0,26.0,1.0,30.0,M0000,0,917,2024-11-20,1,2,pool01-task002
2024-11-20 00:29:50,TXT_2_IMG,SUCCEED,23.0,G0195,46.0,26.0,1.0,30.0,M0010,0,945,2024-11-20,1,3,pool01-task003
2024-11-20 00:30:52,TXT_2_IMG,SUCCEED,13.0,G0195,56.0,26.0,1.0,30.0,M0010,0,948,2024-11-20,1,4,pool01-task004
2024-11-20 00:39:26,TXT_2_IMG,SUCCEED,18.0,G0200,55.0,26.0,1.0,30.0,M0002,0,957,2024-11-20,1,5,pool01-task005
2024-11-20 00:39:59,TXT_2_IMG,SUCCEED,21.0,G0200,55.0,26.0,4.0,30.0,M0002,0,959,2024-11-20,1,6,pool01-task006
2024-11-20 00:44:18,TXT_2_IMG,SUCCEED,18.0,G0203,55.0,26.0,1.0,30.0,M0002,0,962,2024-11-20,1,7,pool01-task007
2024-11-20 00:44:40,TXT_2_IMG,SUCCEED,14.0,G0204,52.0,26.0,1.0,30.0,M0002,0,963,2024-11-20,1,8,pool01-task008
2024-11-20 01:16:14,TXT_2_IMG,SUCCEED,31.0,G0146,33.0,0.0,1.0,30.0,M0001,1,990,2024-11-20,1,9,pool01-task009
2024-11-20 02:27:01,TXT_2_IMG,SUCCEED,15.0,G0187,73.0,26.0,1.0,30.0,M0010,0,1010,2024-11-20,1,10,pool01-task010
2024-11-20 02:41:51,TXT_2_IMG,SUCCEED,17.0,G0217,60.0,26.0,4.0,30.0,M0002,0,1018,2024-11-20,1,11,pool01-task011
2024-11-20 02:56:03,TXT_2_IMG,SUCCEED,10.0,G0221,60.0,26.0,1.0,30.0,M0010,0,1038,2024-11-20,1,12,pool01-task012
2024-11-20 03:05:04,TXT_2_IMG,SUCCEED,20.0,G0220,82.0,26.0,4.0,30.0,M0016,0,1046,2024-11-20,1,13,pool01-task013
