gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-11-28 00:05:59,TXT_2_IMG,SUCCEED,52.0,G0543,49.0,0.0,4.0,30.0,M0054,1,11298,2024-11-28,3,0,pool03-task000
2024-11-28 00:07:30,IMG_2_IMG,SUCCEED,66.0,G0886,7.0,0.0,8.0,30.0,M0001,1,11303,2024-11-28,3,1,pool03-task001
2024-11-28 00:07:34,TXT_2_IMG,SUCCEED,32.0,G1875,30.0,26.0,8.0,40.0,M0001,0,11304,2024-11-28,3,2,pool03-task002
2024-11-28 00:08:28,IMG_2_IMG,SUCCEED,29.0,G1884,104.0,0.0,1.0,30.0,M0026,1,11308,2024-11-28,3,3,pool03-task003
2024-11-28 00:08:32,TXT_2_IMG,SUCCEED,31.0,G1888,2.0,26.0,1.0,40.0,M0001,0,11310,2024-11-28,3,4,pool03-task004
2024-11-28 00:10:48,IMG_2_IMG,SUCCEED,21.0,G0886,7.0,0.0,8.0,30.0,M0001,1,11324,2024-11-28,3,5,pool03-task005
2024-11-28 00:18:43,TXT_2_IMG,SUCCEED,18.0,G1752,49.0,26.0,1.0,30.0,M0006,0,11343,2024-11-28,3,6,pool03-task006
2024-11-28 00:18:44,TXT_2_IMG,SUCCEED,17.0,G1895,40.0,26.0,1.0,30.0,M0010,0,11344,2024-11-28,3,7,pool03-task007
2024-11-28 00:30:47,TXT_2_IMG,SUCCEED,21.0,G1898,70.0,26.0,4.0,30.0,M0009,0,11383,2024-11-28,3,8,pool03-task008
2024-11-28 00:32:16,TXT_2_IMG,SUCCEED,23.0,G1906,39.0,26.0,1.0,30.0,M0002,0,11386,2024-11-28,3,9,pool03-task009
2024-11-28 00:33:00,TXT_2_IMG,SUCCEED,21.0,G1903,91.0,26.0,1.0,30.0,M0010,0,11387,2024-11-28,3,10,pool03-task010
2024-11-28 00:40:06,TXT_2_IMG,SUCCEED,33.0,G1754,19.0,26.0,4.0,40.0,M0001,0,11422,2024-11-28,3,11,pool03-task011
2024-11-28 00:46:45,IMG_2_IMG,SUCCEED,57.0,G1875,34.0,0.0,4.0,30.0,M0001,0,11466,2024-11-28,3,12,pool03-task012
2024-11-28 00:50:37,TXT_2_IMG,SUCCEED,9.0,G1923,21.0,26.0,1.0,30.0,M0002,0,11483,2024-11-28,3,13,pool03-task013
2024-11-28 01:02:05,TXT_2_IMG,SUCCEED,29.0,G1914,8.0,0.0,8.0,30.0,M0001,1,11519,2024-11-28,3,14,pool03-task014
2024-11-28 01:25:10,TXT_2_IMG,SUCCEED,26.0,G0879,61.0,26.0,1.0,30.0,M0002,0,11566,2024-11-28,3,15,pool03-task015
2024-11-28 01:38:02,TXT_2_IMG,SUCCEED,27.0,G1934,58.0,26.0,8.0,30.0,M0002,0,11588,2024-11-28,3,16,pool03-task016
2024-11-28 01:47:59,TXT_2_IMG,SUCCEED,25.0,G1937,51.0,26.0,8.0,30.0,M0002,0,11595,2024-11-28,3,17,pool03-task017
2024-11-28 02:10:46,TXT_2_IMG,SUCCEED,32.0,G1053,2.0,0.0,1.0,30.0,M0004,0,11614,2024-11-28,3,18,pool03-task018
2024-11-28 02:17:50,TXT_2_IMG,SUCCEED,37.0,G1801,5.0,26.0,1.0,40.0,M0001,0,11627,2024-11-28,3,19,pool03-task019
2024-11-28 02:23:38,TXT_2_IMG,SUCCEED,16.0,G1801,47.0,26.0,1.0,30.0,M0002,0,11638,2024-11-28,3,20,pool03-task020
2024-11-28 02:25:46,TXT_2_IMG,SUCCEED,24.0,G1801,44.0,26.0,2.0,30.0,M0002,0,11641,2024-11-28,3,21,pool03-task021
2024-11-28 02:28:01,TXT_2_IMG,SUCCEED,7.0,G0231,48.0,26.0,1.0,30.0,M0002,0,11643,2024-11-28,3,22,pool03-task022
2024-11-28 02:35:36,TXT_2_IMG,SUCCEED,14.0,G1933,42.0,26.0,1.0,30.0,M0006,0,11655,2024-11-28,3,23,pool03-task023
2024-11-28 02:59:15,TXT_2_IMG,SUCCEED,20.0,G1957,57.0,26.0,1.0,30.0,M0002,0,11692,2024-11-28,3,24,pool03-task024
2024-11-28 03:03:11,INPAINTING,SUCCEED,28.0,G0316,0.0,0.0,4.0,30.0,M0001,0,11701,2024-11-28,3,25,pool03-task025
2024-11-28 03:03:50,TXT_2_IMG,SUCCEED,19.0,G1958,62.0,26.0,1.0,30.0,M0002,0,11703,2024-11-28,3,26,pool03-task026
2024-11-28 03:36:46,TXT_2_IMG,SUCCEED,38.0,G1969,10.0,26.0,1.0,40.0,M0001,0,11730,2024-11-28,3,27,pool03-task027
2024-11-28 03:40:40,IMG_2_IMG,SUCCEED,15.0,G1961,24.0,26.0,1.0,30.0,M0004,0,11734,2024-11-28,3,28,pool03-task028
2024-11-28 04:45:29,IMG_2_IMG,SUCCEED,19.0,G1980,76.0,0.0,4.0,30.0,M0001,0,11776,2024-11-28,3,29,pool03-task029
2024-11-28 04:55:10,INPAINTING,SUCCEED,20.0,G1980,35.0,0.0,8.0,30.0,M0001,0,11781,2024-11-28,3,30,pool03-task030
2024-11-28 05:51:31,IMG_2_IMG,SUCCEED,63.0,G1526,100.0,0.0,8.0,30.0,M0001,3,11796,2024-11-28,3,31,pool03-task031
2024-11-28 05:57:36,TXT_2_IMG,SUCCEED,14.0,G1985,47.0,26.0,4.0,30.0,M0002,0,11800,2024-11-28,3,32,pool03-task032
2024-11-28 06:19:24,TXT_2_IMG,SUCCEED,24.0,G1986,65.0,26.0,4.0,30.0,M0010,0,11806,2024-11-28,3,33,pool03-task033
2024-11-28 06:27:48,TXT_2_IMG,SUCCEED,9.0,G1987,64.0,26.0,1.0,30.0,M0002,0,11812,2024-11-28,3,34,pool03-task034
2024-11-28 06:50:57,IMG_2_IMG,SUCCEED,59.0,G1526,112.0,0.0,8.0,30.0,M0001,3,11825,2024-11-28,3,35,pool03-task035
2024-11-28 07:11:17,TXT_2_IMG,SUCCEED,61.0,G1526,142.0,0.0,8.0,30.0,M0001,3,11844,2024-11-28,3,36,pool03-task036
2024-11-28 07:17:34,IMG_2_IMG,SUCCEED,58.0,G1526,142.0,0.0,8.0,30.0,M0001,3,11852,2024-11-28,3,37,pool03-task037
2024-11-28 16:36:56,TXT_2_IMG,SUCCEED,53.0,G1990,56.0,26.0,8.0,30.0,M0010,0,11898,2024-11-28,3,38,pool03-task038
2024-11-28 16:54:38,TXT_2_IMG,SUCCEED,28.0,G0468,67.0,26.0,1.0,30.0,M0037,1,11933,2024-11-28,3,39,pool03-task039
2024-11-28 16:56:51,TXT_2_IMG,SUCCEED,18.0,G2008,62.0,26.0,1.0,30.0,M0002,0,11942,2024-11-28,3,40,pool03-task040
2024-11-28 17:05:54,TXT_2_IMG,SUCCEED,27.0,G1851,48.0,26.0,1.0,53.0,M0027,0,11951,2024-11-28,3,41,pool03-task041
2024-11-28 17:19:11,TXT_2_IMG,SUCCEED,17.0,G2016,51.0,26.0,1.0,30.0,M0002,0,11989,2024-11-28,3,42,pool03-task042
2024-11-28 17:26:47,TXT_2_IMG,SUCCEED,16.0,G2025,71.0,26.0,1.0,30.0,M0010,0,12014,2024-11-28,3,43,pool03-task043
2024-11-28 17:28:01,TXT_2_IMG,SUCCEED,11.0,G2024,44.0,26.0,1.0,30.0,M0010,0,12017,2024-11-28,3,44,pool03-task044
2024-11-28 17:42:25,IMG_2_IMG,SUCCEED,42.0,G0074,119.0,0.0,3.0,30.0,M0003,0,12052,2024-11-28,3,45,pool03-task045
2024-11-28 17:49:38,TXT_2_IMG,SUCCEED,23.0,G2034,64.0,26.0,8.0,30.0,M0002,0,12072,2024-11-28,3,46,pool03-task046
2024-11-28 17:51:00,TXT_2_IMG,SUCCEED,22.0,G2038,60.0,26.0,2.0,30.0,M0016,0,12077,2024-11-28,3,47,pool03-task047
2024-11-28 17:51:04,TXT_2_IMG,SUCCEED,24.0,G2034,13.0,26.0,2.0,30.0,M0004,0,12078,2024-11-28,3,48,pool03-task048
2024-11-28 17:52:42,TXT_2_IMG,SUCCEED,43.0,G2028,63.0,0.0,1.0,30.0,M0001,0,12084,2024-11-28,3,49,pool03-task049
