gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-11-25 00:16:03,TXT_2_IMG,SUCCEED,32.0,G1205,67.0,26.0,1.0,30.0,M0000,0,6726,2024-11-25,2,0,pool02-task000
2024-11-25 00:16:36,TXT_2_IMG,SUCCEED,17.0,G1206,52.0,26.0,1.0,30.0,M0002,0,6729,2024-11-25,2,1,pool02-task001
2024-11-25 00:18:22,INPAINTING,SUCCEED,16.0,G1167,3.0,0.0,1.0,30.0,M0006,0,6732,2024-11-25,2,2,pool02-task002
2024-11-25 00:20:04,TXT_2_IMG,SUCCEED,19.0,G0264,2.0,26.0,4.0,30.0,M0026,0,6742,2024-11-25,2,3,pool02-task003
2024-11-25 00:20:18,TXT_2_IMG,SUCCEED,23.0,G1155,26.0,26.0,1.0,30.0,M0004,0,6743,2024-11-25,2,4,pool02-task004
2024-11-25 00:20:56,TXT_2_IMG,SUCCEED,18.0,G1208,50.0,26.0,4.0,30.0,M0002,0,6746,2024-11-25,2,5,pool02-task005
2024-11-25 00:36:24,TXT_2_IMG,SUCCEED,22.0,G0264,1.0,26.0,1.0,30.0,M0035,0,6779,2024-11-25,2,6,pool02-task006
2024-11-25 00:40:18,TXT_2_IMG,SUCCEED,43.0,G1132,144.0,0.0,8.0,30.0,M0001,0,6789,2024-11-25,2,7,pool02-task007
2024-11-25 00:46:22,TXT_2_IMG,SUCCEED,19.0,G1218,44.0,26.0,1.0,30.0,M0002,0,6806,2024-11-25,2,8,pool02-task008
2024-11-25 01:05:16,TXT_2_IMG,SUCCEED,28.0,G0264,2.0,26.0,8.0,30.0,M0026,0,6839,2024-11-25,2,9,pool02-task009
2024-11-25 01:08:10,TXT_2_IMG,SUCCEED,26.0,G0264,82.0,26.0,8.0,30.0,M0026,0,6841,2024-11-25,2,10,pool02-task010
2024-11-25 01:23:26,TXT_2_IMG,SUCCEED,23.0,G1230,58.0,26.0,1.0,30.0,M0010,0,6856,2024-11-25,2,11,pool02-task011
2024-11-25 01:52:22,TXT_2_IMG,SUCCEED,20.0,G1206,49.0,26.0,1.0,30.0,M0002,0,6868,2024-11-25,2,12,pool02-task012
2024-11-25 01:58:42,TXT_2_IMG,SUCCEED,25.0,G1188,44.0,26.0,1.0,30.0,M0010,0,6872,2024-11-25,2,13,pool02-task013
2024-11-25 02:08:02,IMG_2_IMG,SUCCEED,27.0,G1234,2.0,0.0,4.0,30.0,M0001,0,6873,2024-11-25,2,14,pool02-task014
2024-11-25 02:10:06,TXT_2_IMG,SUCCEED,20.0,G1226,104.0,26.0,1.0,30.0,M0000,0,6875,2024-11-25,2,15,pool02-task015
2024-11-25 02:18:49,TXT_2_IMG,SUCCEED,24.0,G1235,57.0,26.0,4.0,30.0,M0000,0,6883,2024-11-25,2,16,pool02-task016
2024-11-25 02:19:43,IMG_2_IMG,SUCCEED,30.0,G0235,12.0,0.0,4.0,30.0,M0001,1,6887,2024-11-25,2,17,pool02-task017
2024-11-25 02:20:03,TXT_2_IMG,SUCCEED,22.0,G1235,26.0,26.0,1.0,30.0,M0004,0,6888,2024-11-25,2,18,pool02-task018
2024-11-25 02:21:50,TXT_2_IMG,SUCCEED,21.0,G1237,63.0,26.0,1.0,30.0,M0002,0,6892,2024-11-25,2,19,pool02-task019
2024-11-25 02:26:24,TXT_2_IMG,SUCCEED,32.0,G0235,13.0,0.0,4.0,30.0,M0001,1,6897,2024-11-25,2,20,pool02-task020
2024-11-25 02:38:26,TXT_2_IMG,SUCCEED,13.0,G1239,43.0,26.0,1.0,30.0,M0002,0,6909,2024-11-25,2,21,pool02-task021
2024-11-25 02:59:08,TXT_2_IMG,SUCCEED,30.0,G0046,62.0,26.0,1.0,30.0,M0002,0,6927,2024-11-25,2,22,pool02-task022
2024-11-25 03:20:27,TXT_2_IMG,SUCCEED,14.0,G1248,59.0,26.0,1.0,30.0,M0002,0,6933,2024-11-25,2,23,pool02-task023
2024-11-25 03:24:26,TXT_2_IMG,SUCCEED,13.0,G0895,52.0,26.0,1.0,30.0,M0002,0,6935,2024-11-25,2,24,pool02-task024
2024-11-25 04:19:50,TXT_2_IMG,SUCCEED,59.0,G0793,43.0,0.0,4.0,30.0,M0003,1,6983,2024-11-25,2,25,pool02-task025
2024-11-25 05:32:43,TXT_2_IMG,SUCCEED,12.0,G0693,54.0,28.0,1.0,30.0,M0004,0,7023,2024-11-25,2,26,pool02-task026
2024-11-25 06:10:25,TXT_2_IMG,SUCCEED,26.0,G1263,51.0,26.0,8.0,30.0,M0010,0,7035,2024-11-25,2,27,pool02-task027
2024-11-25 06:28:19,TXT_2_IMG,SUCCEED,16.0,G1263,69.0,26.0,1.0,30.0,M0010,0,7047,2024-11-25,2,28,pool02-task028
2024-11-25 06:50:09,IMG_2_IMG,SUCCEED,17.0,G0316,4.0,0.0,1.0,30.0,M0001,0,7056,2024-11-25,2,29,pool02-task029
2024-11-25 07:28:47,IMG_2_IMG,SUCCEED,14.0,G0316,4.0,0.0,1.0,30.0,M0001,0,7064,2024-11-25,2,30,pool02-task030
2024-11-25 07:31:13,IMG_2_IMG,SUCCEED,13.0,G0316,4.0,0.0,1.0,30.0,M0001,0,7066,2024-11-25,2,31,pool02-task031
2024-11-25 07:32:02,IMG_2_IMG,SUCCEED,15.0,G0316,4.0,0.0,1.0,30.0,M0001,0,7068,2024-11-25,2,32,pool02-task032
2024-11-25 10:16:50,TXT_2_IMG,SUCCEED,19.0,G1268,51.0,26.0,1.0,30.0,M0006,0,7080,2024-11-25,2,33,pool02-task033
2024-11-25 10:19:26,IMG_2_IMG,SUCCEED,13.0,G1268,54.0,26.0,1.0,30.0,M0006,0,7081,2024-11-25,2,34,pool02-task034
2024-11-25 17:19:36,TXT_2_IMG,SUCCEED,16.0,G1280,46.0,26.0,4.0,30.0,M0002,0,7127,2024-11-25,2,35,pool02-task035
2024-11-25 17:39:27,IMG_2_IMG,SUCCEED,18.0,G0873,43.0,26.0,2.0,30.0,M0006,0,7167,2024-11-25,2,36,pool02-task036
2024-11-25 17:44:56,TXT_2_IMG,SUCCEED,38.0,G0146,25.0,0.0,8.0,30.0,M0001,1,7187,2024-11-25,2,37,pool02-task037
2024-11-25 17:49:12,TXT_2_IMG,SUCCEED,16.0,G1291,5.0,26.0,1.0,30.0,M0004,0,7199,2024-11-25,2,38,pool02-task038
2024-11-25 18:03:46,IMG_2_IMG,SUCCEED,23.0,G1078,169.0,0.0,1.0,30.0,M0001,0,7248,2024-11-25,2,39,pool02-task039
2024-11-25 18:11:24,TXT_2_IMG,SUCCEED,22.0,G1302,48.0,26.0,1.0,30.0,M0002,0,7270,2024-11-25,2,40,pool02-task040
2024-11-25 18:23:13,TXT_2_IMG,SUCCEED,43.0,G1292,97.0,26.0,8.0,40.0,M0011,0,7302,2024-11-25,2,41,pool02-task041
2024-11-25 18:31:03,TXT_2_IMG,SUCCEED,32.0,G1308,85.0,26.0,2.0,30.0,M0002,0,7311,2024-11-25,2,42,pool02-task042
2024-11-25 18:39:12,IMG_2_IMG,SUCCEED,10.0,G1313,39.0,26.0,1.0,30.0,M0004,0,7342,2024-11-25,2,43,pool02-task043
2024-11-25 18:39:42,TXT_2_IMG,SUCCEED,10.0,G1316,6.0,26.0,1.0,30.0,M0035,0,7344,2024-11-25,2,44,pool02-task044
2024-11-25 18:43:16,TXT_2_IMG,SUCCEED,94.0,G0529,31.0,0.0,4.0,30.0,M0003,1,7360,2024-11-25,2,45,pool02-task045
2024-11-25 18:49:16,TXT_2_IMG,SUCCEED,68.0,G1322,28.0,0.0,8.0,30.0,M0001,1,7383,2024-11-25,2,46,pool02-task046
2024-11-25 18:56:54,TXT_2_IMG,SUCCEED,72.0,G0316,11.0,0.0,8.0,30.0,M0003,1,7393,2024-11-25,2,47,pool02-task047
2024-11-25 18:56:55,INPAINTING,SUCCEED,8.0,G1317,72.0,26.0,1.0,30.0,M0004,0,7394,2024-11-25,2,48,pool02-task048
2024-11-25 19:00:03,TXT_2_IMG,SUCCEED,18.0,G1315,55.0,26.0,4.0,30.0,M0014,0,7405,2024-11-25,2,49,pool02-task049
2024-11-25 19:24:10,TXT_2_IMG,SUCCEED,21.0,G1326,54.0,26.0,4.0,30.0,M0008,1,7413,2024-11-25,2,50,pool02-task050
2024-11-25 20:40:14,TXT_2_IMG,SUCCEED,10.0,G1331,64.0,26.0,1.0,30.0,M0000,0,7446,2024-11-25,2,51,pool02-task051
2024-11-25 20:50:46,TXT_2_IMG,SUCCEED,19.0,G1334,65.0,26.0,1.0,30.0,M0002,0,7457,2024-11-25,2,52,pool02-task052
2024-11-25 21:01:41,TXT_2_IMG,SUCCEED,28.0,G0264,1.0,26.0,8.0,30.0,M0026,0,7485,2024-11-25,2,53,pool02-task053
2024-11-25 21:13:51,TXT_2_IMG,SUCCEED,22.0,G0264,7.0,26.0,8.0,30.0,M0026,0,7522,2024-11-25,2,54,pool02-task054
2024-11-25 21:14:38,TXT_2_IMG,SUCCEED,20.0,G0264,6.0,26.0,8.0,30.0,M0026,0,7524,2024-11-25,2,55,pool02-task055
2024-11-25 21:19:50,TXT_2_IMG,SUCCEED,12.0,G1353,76.0,26.0,1.0,30.0,M0002,0,7538,2024-11-25,2,56,pool02-task056
2024-11-25 21:20:01,TXT_2_IMG,SUCCEED,10.0,G1351,71.0,26.0,4.0,30.0,M0002,0,7539,2024-11-25,2,57,pool02-task057
2024-11-25 21:27:26,TXT_2_IMG,SUCCEED,18.0,G1347,60.0,26.0,1.0,30.0,M0002,0,7566,2024-11-25,2,58,pool02-task058
2024-11-25 21:39:09,TXT_2_IMG,SUCCEED,24.0,G1364,60.0,26.0,1.0,30.0,M0002,0,7603,2024-11-25,2,59,pool02-task059
2024-11-25 21:43:05,TXT_2_IMG,SUCCEED,37.0,G0250,31.0,0.0,1.0,30.0,M0003,1,7619,2024-11-25,2,60,pool02-task060
2024-11-25 21:51:03,TXT_2_IMG,SUCCEED,19.0,G0129,73.0,26.0,4.0,30.0,M0002,0,7650,2024-11-25,2,61,pool02-task061
2024-11-25 21:56:37,TXT_2_IMG,SUCCEED,12.0,G1370,45.0,26.0,1.0,30.0,M0010,0,7670,2024-11-25,2,62,pool02-task062
2024-11-25 22:00:23,TXT_2_IMG,SUCCEED,36.0,G1292,85.0,0.0,8.0,30.0,M0011,0,7685,2024-11-25,2,63,pool02-task063
2024-11-25 22:05:17,TXT_2_IMG,SUCCEED,99.0,G0316,17.0,0.0,8.0,30.0,M0003,1,7697,2024-11-25,2,64,pool02-task064
2024-11-25 22:14:04,TXT_2_IMG,SUCCEED,26.0,G0657,100.0,0.0,4.0,30.0,M0004,0,7729,2024-11-25,2,65,pool02-task065
2024-11-25 22:18:56,TXT_2_IMG,SUCCEED,52.0,G1383,24.0,26.0,2.0,40.0,M0001,0,7759,2024-11-25,2,66,pool02-task066
2024-11-25 22:21:02,TXT_2_IMG,SUCCEED,23.0,G1386,60.0,26.0,1.0,30.0,M0002,0,7766,2024-11-25,2,67,pool02-task067
2024-11-25 22:23:35,TXT_2_IMG,SUCCEED,11.0,G1388,65.0,26.0,1.0,30.0,M0004,0,7782,2024-11-25,2,68,pool02-task068
2024-11-25 22:23:41,TXT_2_IMG,SUCCEED,17.0,G0730,109.0,0.0,1.0,30.0,M0000,0,7784,2024-11-25,2,69,pool02-task069
2024-11-25 22:24:11,TXT_2_IMG,SUCCEED,41.0,G1292,85.0,0.0,8.0,30.0,M0011,0,7787,2024-11-25,2,70,pool02-task070
2024-11-25 22:27:38,TXT_2_IMG,SUCCEED,14.0,G1390,57.0,26.0,1.0,30.0,M0002,0,7800,2024-11-25,2,71,pool02-task071
2024-11-25 22:28:02,TXT_2_IMG,SUCCEED,51.0,G1391,13.0,0.0,1.0,30.0,M0001,0,7801,2024-11-25,2,72,pool02-task072
2024-11-25 22:29:00,TXT_2_IMG,SUCCEED,59.0,G1391,13.0,0.0,1.0,30.0,M0001,0,7808,2024-11-25,2,73,pool02-task073
