gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-12-08 06:04:09,IMG_2_IMG,SUCCEED,33.0,G3515,11.0,0.0,8.0,30.0,M0001,0,26686,2024-12-08,5,38,pool05-task038
2024-12-08 06:09:29,IMG_2_IMG,SUCCEED,13.0,G4227,187.0,26.0,1.0,30.0,M0004,0,26687,2024-12-08,5,39,pool05-task039
2024-12-08 06:10:11,IMG_2_IMG,SUCCEED,14.0,G4227,187.0,26.0,1.0,30.0,M0023,0,26688,2024-12-08,5,40,pool05-task040
2024-12-08 06:11:39,IMG_2_IMG,SUCCEED,16.0,G4227,187.0,26.0,1.0,30.0,M0023,0,26689,2024-12-08,5,41,pool05-task041
2024-12-08 06:12:28,IMG_2_IMG,SUCCEED,12.0,G4227,187.0,26.0,1.0,30.0,M0023,0,26690,2024-12-08,5,42,pool05-task042
2024-12-08 06:18:06,IMG_2_IMG,SUCCEED,14.0,G4227,187.0,26.0,1.0,30.0,M0023,0,26692,2024-12-08,5,43,pool05-task043
2024-12-08 06:31:04,TXT_2_IMG,SUCCEED,26.0,G4228,1288.0,26.0,1.0,30.0,M0004,0,26696,2024-12-08,5,44,pool05-task044
2024-12-08 07:18:12,IMG_2_IMG,SUCCEED,8.0,G4229,44.0,26.0,1.0,30.0,M0004,0,26700,2024-12-08,5,45,pool05-task045
2024-12-08 07:48:45,IMG_2_IMG,SUCCEED,13.0,G4229,44.0,26.0,1.0,30.0,M0004,0,26701,2024-12-08,5,46,pool05-task046
2024-12-08 08:16:59,TXT_2_IMG,SUCCEED,14.0,G4230,49.0,26.0,1.0,30.0,M0002,0,26702,2024-12-08,5,47,pool05-task047
2024-12-08 08:17:46,TXT_2_IMG,SUCCEED,16.0,G4230,62.0,26.0,1.0,30.0,M0002,0,26703,2024-12-08,5,48,pool05-task048
2024-12-08 10:36:37,TXT_2_IMG,SUCCEED,15.0,G4231,81.0,26.0,1.0,30.0,M0002,0,26706,2024-12-08,5,49,pool05-task049
2024-12-08 10:37:38,TXT_2_IMG,SUCCEED,11.0,G4231,54.0,26.0,1.0,30.0,M0002,0,26707,2024-12-08,5,50,pool05-task050
2024-12-08 16:21:52,IMG_2_IMG,SUCCEED,24.0,G4233,7.0,26.0,2.0,30.0,M0004,0,26714,2024-12-08,5,51,pool05-task051
2024-12-08 16:23:46,IMG_2_IMG,SUCCEED,24.0,G4233,4.0,26.0,2.0,30.0,M0004,0,26715,2024-12-08,5,52,pool05-task052
2024-12-08 16:24:53,IMG_2_IMG,SUCCEED,24.0,G4233,4.0,26.0,2.0,30.0,M0039,0,26716,2024-12-08,5,53,pool05-task053
2024-12-08 16:31:51,TXT_2_IMG,SUCCEED,28.0,G4234,8.0,26.0,1.0,30.0,M0004,0,26717,2024-12-08,5,54,pool05-task054
2024-12-08 16:43:39,TXT_2_IMG,SUCCEED,7.0,G4231,52.0,26.0,1.0,30.0,M0002,0,26723,2024-12-08,5,55,pool05-task055
2024-12-08 16:43:48,TXT_2_IMG,SUCCEED,10.0,G4235,63.0,26.0,1.0,30.0,M0002,0,26724,2024-12-08,5,56,pool05-task056
2024-12-08 16:49:48,TXT_2_IMG,SUCCEED,27.0,G4235,12.0,26.0,1.0,30.0,M0002,0,26732,2024-12-08,5,57,pool05-task057
2024-12-08 16:50:02,TXT_2_IMG,SUCCEED,91.0,G2115,65.0,0.0,1.0,30.0,M0003,1,26733,2024-12-08,5,58,pool05-task058
2024-12-08 16:50:09,TXT_2_IMG,SUCCEED,57.0,G1560,31.0,26.0,1.0,40.0,M0001,0,26734,2024-12-08,5,59,pool05-task059
2024-12-08 16:51:16,TXT_2_IMG,SUCCEED,62.0,G2063,6.0,26.0,8.0,40.0,M0001,0,26735,2024-12-08,5,60,pool05-task060
2024-12-08 16:53:39,TXT_2_IMG,SUCCEED,54.0,G2063,10.0,26.0,8.0,40.0,M0001,0,26739,2024-12-08,5,61,pool05-task061
2024-12-08 16:54:54,INPAINTING,SUCCEED,12.0,G3283,2.0,26.0,1.0,30.0,M0004,0,26740,2024-12-08,5,62,pool05-task062
2024-12-08 16:55:55,INPAINTING,SUCCEED,29.0,G3283,2.0,0.0,1.0,30.0,M0001,0,26742,2024-12-08,5,63,pool05-task063
2024-12-08 16:56:49,TXT_2_IMG,SUCCEED,57.0,G0146,32.0,0.0,8.0,30.0,M0003,1,26745,2024-12-08,5,64,pool05-task064
2024-12-08 16:57:42,IMG_2_IMG,SUCCEED,7.0,G3283,1.0,0.0,1.0,30.0,M0001,0,26746,2024-12-08,5,65,pool05-task065
2024-12-08 16:57:59,IMG_2_IMG,SUCCEED,14.0,G3283,1.0,0.0,1.0,30.0,M0001,0,26748,2024-12-08,5,66,pool05-task066
2024-12-08 16:59:08,TXT_2_IMG,SUCCEED,29.0,G4235,214.0,26.0,2.0,30.0,M0002,0,26749,2024-12-08,5,67,pool05-task067
2024-12-08 16:59:19,IMG_2_IMG,SUCCEED,9.0,G3283,1.0,0.0,1.0,30.0,M0002,0,26750,2024-12-08,5,68,pool05-task068
2024-12-08 17:00:04,TXT_2_IMG,SUCCEED,15.0,G4237,50.0,26.0,1.0,30.0,M0002,0,26751,2024-12-08,5,69,pool05-task069
2024-12-08 17:00:15,IMG_2_IMG,SUCCEED,10.0,G3283,1.0,0.0,1.0,30.0,M0001,0,26753,2024-12-08,5,70,pool05-task070
2024-12-08 17:01:01,TXT_2_IMG,SUCCEED,16.0,G3641,42.0,26.0,1.0,30.0,M0004,0,26754,2024-12-08,5,71,pool05-task071
2024-12-08 17:01:03,TXT_2_IMG,SUCCEED,23.0,G4238,47.0,26.0,1.0,30.0,M0002,0,26755,2024-12-08,5,72,pool05-task072
2024-12-08 17:02:50,TXT_2_IMG,SUCCEED,15.0,G4235,102.0,26.0,2.0,30.0,M0002,0,26761,2024-12-08,5,73,pool05-task073
2024-12-08 17:03:17,TXT_2_IMG,SUCCEED,22.0,G4238,52.0,26.0,2.0,30.0,M0002,0,26762,2024-12-08,5,74,pool05-task074
2024-12-08 17:05:15,TXT_2_IMG,SUCCEED,24.0,G4238,43.0,26.0,4.0,30.0,M0002,0,26766,2024-12-08,5,75,pool05-task075
2024-12-08 17:08:43,TXT_2_IMG,SUCCEED,10.0,G1553,78.0,26.0,1.0,30.0,M0002,0,26770,2024-12-08,5,76,pool05-task076
2024-12-08 17:10:28,TXT_2_IMG,SUCCEED,50.0,G3437,83.0,0.0,2.0,30.0,M0003,1,26773,2024-12-08,5,77,pool05-task077
2024-12-08 17:13:28,TXT_2_IMG,SUCCEED,96.0,G0263,35.0,0.0,1.0,30.0,M0003,1,26775,2024-12-08,5,78,pool05-task078
2024-12-08 17:13:58,TXT_2_IMG,SUCCEED,24.0,G4240,57.0,26.0,1.0,30.0,M0000,0,26776,2024-12-08,5,79,pool05-task079
2024-12-08 17:15:30,TXT_2_IMG,SUCCEED,88.0,G2115,80.0,0.0,1.0,30.0,M0003,1,26777,2024-12-08,5,80,pool05-task080
2024-12-08 17:16:33,TXT_2_IMG,SUCCEED,12.0,G4242,46.0,26.0,1.0,30.0,M0002,0,26780,2024-12-08,5,81,pool05-task081
2024-12-08 17:17:23,TXT_2_IMG,SUCCEED,41.0,G4243,9.0,26.0,1.0,40.0,M0001,0,26783,2024-12-08,5,82,pool05-task082
2024-12-08 17:18:36,TXT_2_IMG,SUCCEED,77.0,G0263,43.0,0.0,1.0,30.0,M0003,1,26786,2024-12-08,5,83,pool05-task083
2024-12-08 17:20:18,TXT_2_IMG,SUCCEED,20.0,G4241,49.0,26.0,1.0,30.0,M0010,0,26789,2024-12-08,5,84,pool05-task084
2024-12-08 17:21:44,TXT_2_IMG,SUCCEED,12.0,G4239,42.0,26.0,1.0,30.0,M0002,0,26793,2024-12-08,5,85,pool05-task085
2024-12-08 17:22:51,TXT_2_IMG,SUCCEED,23.0,G3058,43.0,26.0,4.0,30.0,M0002,0,26796,2024-12-08,5,86,pool05-task086
2024-12-08 17:24:48,TXT_2_IMG,SUCCEED,12.0,G4245,67.0,26.0,1.0,30.0,M0002,0,26799,2024-12-08,5,87,pool05-task087
2024-12-08 17:26:11,TXT_2_IMG,SUCCEED,47.0,G3959,2.0,0.0,1.0,30.0,M0001,0,26800,2024-12-08,5,88,pool05-task088
2024-12-08 17:26:36,TXT_2_IMG,SUCCEED,49.0,G3959,2.0,0.0,1.0,30.0,M0001,1,26801,2024-12-08,5,89,pool05-task089
2024-12-08 17:27:52,IMG_2_IMG,SUCCEED,15.0,G3058,10.0,26.0,1.0,30.0,M0004,0,26802,2024-12-08,5,90,pool05-task090
2024-12-08 17:28:08,TXT_2_IMG,SUCCEED,14.0,G4246,54.0,26.0,1.0,30.0,M0010,0,26803,2024-12-08,5,91,pool05-task091
2024-12-08 17:28:17,TXT_2_IMG,SUCCEED,60.0,G3959,16.0,0.0,8.0,30.0,M0001,1,26804,2024-12-08,5,92,pool05-task092
2024-12-08 17:29:26,TXT_2_IMG,SUCCEED,21.0,G4246,49.0,26.0,1.0,30.0,M0010,0,26808,2024-12-08,5,93,pool05-task093
2024-12-08 17:30:26,TXT_2_IMG,SUCCEED,22.0,G3058,52.0,26.0,4.0,30.0,M0000,0,26812,2024-12-08,5,94,pool05-task094
2024-12-08 17:31:37,TXT_2_IMG,SUCCEED,101.0,G0263,45.0,0.0,4.0,30.0,M0003,1,26814,2024-12-08,5,95,pool05-task095
2024-12-08 17:31:58,TXT_2_IMG,SUCCEED,44.0,G0287,6.0,0.0,1.0,30.0,M0001,1,26815,2024-12-08,5,96,pool05-task096
2024-12-08 17:32:49,IMG_2_IMG,SUCCEED,14.0,G3974,16.0,26.0,1.0,30.0,M0004,0,26816,2024-12-08,5,97,pool05-task097
2024-12-08 17:33:24,IMG_2_IMG,SUCCEED,24.0,G3974,16.0,26.0,1.0,30.0,M0004,1,26818,2024-12-08,5,98,pool05-task098
2024-12-08 17:33:45,TXT_2_IMG,SUCCEED,15.0,G2054,47.0,26.0,1.0,30.0,M0010,0,26820,2024-12-08,5,99,pool05-task099
